product_title,product_page_url,full_price,product_description,brand,category,competence_date,image_url
Rachel Glauber Two-Tone Milgrain Medallion Flower Stud Earrings in White Gold Plated or 14K Gold Plated - Macy's,https://www.macys.com/shop/product/rachel-glauber-two-tone-milgrain-medallion-flower-stud-earrings-in-white-gold-plated-or-14k-gold-plated?ID=20529499,$26.00,"Elevate your style with these Two-Tone Milgrain Medallion Flower Stud Earrings. Crafted in a stunning flower design, they feature a 14K Gold Plated medallion center surrounded by a delicate milgrain detail in White Gold Plated or 14K Gold Plated. Perfect for adding a touch of elegance to any outfit.",Rachel Glauber,"Jewelry & Watches, Earrings",2024-12-21 22:03:37.680008,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/30952731_fpx.tif?$filterlrg$&wid=327
Winnie the Pooh Baby Boys Disney Lion King Mickey Mouse Toy Story Fleece Sweatshirt and Pants Outfit Set - Macy's,https://www.macys.com/shop/product/winnie-the-pooh-baby-boys-disney-lion-king-mickey-mouse-toy-story-fleece-sweatshirt-pants-outfit-set?ID=19700053,$65.99,"Get ready for a day filled with Disney magic in this cute and comfy fleece outfit! This stylish set comes with a soft sweatshirt and matching jogger pants featuring vibrant art of your favorite Disney characters! Watch your child go on adventures with characters like Mickey Mouse, Winnie the Pooh an",Winnie the Pooh,"Kids, Sets & Outfits",2024-12-21 22:04:16.869506,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/29901332_fpx.tif?$filterlrg$&wid=327
Alfred Dunner Plus Size Coming Up Roses Sateen Woven Average Length Pants - Macy's,https://www.macys.com/shop/product/alfred-dunner-plus-size-coming-up-roses-sateen-woven-average-length-pants?ID=20484306,$53.50,These stylish and comfortable woven pants feature slant pockets for a modern and edgy touch. The high-quality fabric ensures both durability and style.,Alfred Dunner,"Women's Clothing, Shoes & Accessories, Pants",2024-12-21 22:04:35.614950,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/30915907_fpx.tif?$filterlrg$&wid=327
"Wincraft Washington Nationals Ultra Plush 50"" x 60"" Throw Blanket - Macy's",https://www.macys.com/shop/product/wincraft-washington-nationals-ultra-plush-50-x-60-throw-blanket?ID=16563820,$34.99,This Washington Nationals Throw blanket by Wincraft provides an ultra-plush feel while showing off your team spirit.,Wincraft,"Bed & Bath, Blankets & Throws",2024-12-21 22:04:39.345801,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/25282898_fpx.tif?$filterlrg$&wid=327
UIE Inc Professional Farmer 2017 - Xbox One - Macy's,https://www.macys.com/shop/product/uie-inc-professional-farmer-2017-xbox-one?ID=20635438,$19.99,"Get ready for country-life! This game takes you to your own farm! Enjoy the life of a farmer with all its amazing tasks! Drive your original vehicles, cultivate your fields, take care of your animals and market your produce!",UIE Inc,"Electronics, Video Games & Consoles",2024-12-21 22:04:43.407125,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/31066803_fpx.tif?$filterlrg$&wid=327
Lacoste Men's Double Face Adjustable Joggers - Macy's,https://www.macys.com/shop/product/lacoste-mens-double-face-adjustable-joggers?ID=19925368,$150.00,"These iconic Lacoste joggers feature the brand's signature double-face piqué, iconic details, and sporty styling. The high-shine badge adds a contemporary touch for everyday style.",Lacoste,"Men's Clothing & Accessories, Pants",2024-12-21 22:05:09.861450,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/30163547_fpx.tif?$filterlrg$&wid=327
"FC Design ""2-PC Gift Set"" 9""W Happy Frog Couple Leaning Back to Back Statue Animal Figurine Statue Ornament Home Room Office Decor and Perfect Gift Ideas for Housewarming, Holidays and Birthdays - Macy's",https://www.macys.com/shop/product/fc-design-2-pc-gift-set-9w-happy-frog-couple-leaning-back-to-back-statue-animal-figurine-statue-ornament-home-room-office-decor-perfect-gift-ideas-for-housewarming-holidays-birthdays?ID=20539136,$63.95,"Look at this gorgeous 2-piece figurine set! This stunning duo will make an eye-catching addition to your display shelves, desktops, or office decor. Each piece is designed to complement the other, creating a harmonious and visually appealing combination. It's a perfect gift for figurine lovers or anyone who appreciates fine craftsmanship and unique decor.",FC Design,"Home Decor, Decorative Sculptures, Statues & Figurines",2024-12-21 22:05:13.667466,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/30963740_fpx.tif?$filterlrg$&wid=327
Slickblue Platform Bed with Storage - Modern Design with 4 Spacious Drawers - Macy's,https://www.macys.com/shop/product/slickblue-platform-bed-with-storage-modern-design-with-4-spacious-drawers?ID=20604883,"$1,284.99","Fashionably functional Full size Modern Platform Bed with 4 Storage Drawers. The 4 under-bed storage drawers (2 on each side) provide plenty of space for clothes, blankets or books. Flat-fitting satin nickel finish metal handles on bed for added protection. This bed fits full size mattress and box spring is not required.",Slickblue,Furniture,2024-12-21 22:06:32.440499,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/31050416_fpx.tif?$filterlrg$&wid=327
vidaXL Bar Stools 2 pcs Solid Fir Wood - Macy's,https://www.macys.com/shop/product/vidaxl-bar-stools-2-pcs-solid-fir-wood?ID=19376958,$215.99,This set of 2 wooden bar stools will make a decorative addition to your kitchen or dining room decor,vidaXL,Furniture,2024-12-21 22:07:03.848778,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/29420150_fpx.tif?$filterlrg$&wid=327
DJI Osmo Action Multifunctional Charging Handle - Macy's,https://www.macys.com/shop/product/dji-osmo-action-multifunctional-charging-handle?ID=20090702,$99.00,"The DJI Osmo Action Multifunctional Charging Handle provides approximately seven hours of operating time for Action 5 Pro, allowing for convenient outdoor charging anytime. This set contains a DJI Osmo Action Compact Lightweight Multifunctional Charging Handle for the Action 5 Pro Camera, a Charging Port Protector, and a DJI Wrist Strap.",DJI,Electronics,2024-12-21 22:07:30.278398,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/30390336_fpx.tif?$filterlrg$&wid=327
